"No.","Time","Source","Destination","Protocol","Length","Info"
"100","2025/047 12:52:06.326059","2a06:c701:4f46:4100:fd5b:6cbb:e256:d295","2a00:1450:4028:804::2003","TCP","74","63965  >  443 [ACK] Seq=2 Ack=75 Win=252 Len=0"
"101","2025/047 12:52:06.372270","206.247.60.204","10.0.0.4","UDP","143","8801  >  59139 Len=101"
"102","2025/047 12:52:06.422454","10.0.0.4","206.247.60.204","UDP","106","59139  >  8801 Len=64"
"103","2025/047 12:52:06.422501","10.0.0.4","206.247.60.204","UDP","152","59139  >  8801 Len=110"
"104","2025/047 12:52:06.464210","206.247.60.204","10.0.0.4","TCP","56","443  >  64047 [ACK] Seq=88 Ack=106 Win=11 Len=0"
"105","2025/047 12:52:06.523226","10.0.0.4","206.247.60.204","UDP","143","59139  >  8801 Len=101"
"106","2025/047 12:52:06.622415","10.0.0.4","206.247.60.204","UDP","143","59139  >  8801 Len=101"
"107","2025/047 12:52:06.673133","206.247.60.204","10.0.0.4","UDP","143","8801  >  59139 Len=101"
"108","2025/047 12:52:06.703609","206.247.60.204","10.0.0.4","TLSv1.2","125","Application Data"
"109","2025/047 12:52:06.703776","10.0.0.4","206.247.60.204","TLSv1.2","104","Application Data"
"110","2025/047 12:52:06.722784","10.0.0.4","206.247.60.204","UDP","151","59139  >  8801 Len=109"
"111","2025/047 12:52:06.788063","206.247.60.204","10.0.0.4","UDP","136","8801  >  59139 Len=94"
"112","2025/047 12:52:06.809011","206.247.60.204","10.0.0.4","UDP","148","8801  >  59139 Len=106"
"113","2025/047 12:52:06.818054","206.247.60.204","10.0.0.4","UDP","106","8801  >  59139 Len=64"
"114","2025/047 12:52:06.822366","10.0.0.4","206.247.60.204","UDP","143","59139  >  8801 Len=101"
"115","2025/047 12:52:06.829262","206.247.60.204","10.0.0.4","UDP","144","8801  >  59139 Len=102"
"116","2025/047 12:52:06.838699","206.247.60.204","10.0.0.4","UDP","101","8801  >  59137 Len=59"
"117","2025/047 12:52:06.844527","206.247.60.204","10.0.0.4","TCP","56","443  >  64046 [ACK] Seq=1336 Ack=342 Win=16 Len=0"
"118","2025/047 12:52:06.849863","206.247.60.204","10.0.0.4","UDP","150","8801  >  59139 Len=108"
"119","2025/047 12:52:06.867007","206.247.60.204","10.0.0.4","UDP","994","8801  >  59137 Len=952"
"120","2025/047 12:52:06.870631","206.247.60.204","10.0.0.4","UDP","164","8801  >  59139 Len=122"
"121","2025/047 12:52:06.881018","206.247.60.204","10.0.0.4","UDP","994","8801  >  59137 Len=952"
"122","2025/047 12:52:06.881018","206.247.60.204","10.0.0.4","UDP","176","8801  >  59139 Len=134"
"123","2025/047 12:52:06.887765","206.247.60.204","10.0.0.4","UDP","994","8801  >  59137 Len=952"
"124","2025/047 12:52:06.908118","206.247.60.204","10.0.0.4","UDP","994","8801  >  59137 Len=952"
"125","2025/047 12:52:06.920465","206.247.60.204","10.0.0.4","TLSv1.2","117","Application Data"
"126","2025/047 12:52:06.920465","206.247.60.204","10.0.0.4","TLSv1.2","163","Application Data"
"127","2025/047 12:52:06.920520","10.0.0.4","206.247.60.204","TCP","54","64046  >  443 [ACK] Seq=342 Ack=1508 Win=255 Len=0"
"128","2025/047 12:52:06.920763","10.0.0.4","206.247.60.204","TLSv1.2","97","Application Data"
"129","2025/047 12:52:06.922347","206.247.60.204","10.0.0.4","UDP","195","8801  >  59139 Len=153"
"130","2025/047 12:52:06.922402","10.0.0.4","206.247.60.204","UDP","141","59139  >  8801 Len=99"
"131","2025/047 12:52:06.933038","fe80::17b1:b3d8:15b7:e566","ff02::c","UDP/XML","718","57211  >  3702 Len=656"
"132","2025/047 12:52:06.933038","10.0.0.6","239.255.255.250","UDP/XML","698","57210  >  3702 Len=656"
"133","2025/047 12:52:06.934021","10.0.0.4","224.0.0.251","MDNS","85","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"134","2025/047 12:52:06.934338","fe80::516e:990b:e6dc:35ff","ff02::fb","MDNS","105","Standard query 0x0000 PTR _microsoft_mcc._tcp.local, ""QM"" question"
"135","2025/047 12:52:06.942649","206.247.60.204","10.0.0.4","UDP","210","8801  >  59139 Len=168"
"136","2025/047 12:52:06.949354","206.247.60.204","10.0.0.4","UDP","993","8801  >  59137 Len=951"
"137","2025/047 12:52:06.955865","10.0.0.4","206.247.60.204","UDP","101","59137  >  8801 Len=59"
"138","2025/047 12:52:06.955921","10.0.0.4","206.247.60.204","UDP","979","59137  >  8801 Len=937"
"139","2025/047 12:52:06.962377","206.247.60.204","10.0.0.4","UDP","236","8801  >  59139 Len=194"
"140","2025/047 12:52:06.962614","10.0.0.4","206.247.60.204","UDP","979","59137  >  8801 Len=937"
"141","2025/047 12:52:06.972217","206.247.60.204","10.0.0.4","UDP","136","8801  >  59139 Len=94"
"142","2025/047 12:52:06.972398","10.0.0.4","206.247.60.204","UDP","979","59137  >  8801 Len=937"
"143","2025/047 12:52:06.972436","10.0.0.4","206.247.60.204","UDP","978","59137  >  8801 Len=936"
"144","2025/047 12:52:06.972446","10.0.0.4","206.247.60.204","UDP","978","59137  >  8801 Len=936"
"145","2025/047 12:52:06.982623","206.247.60.204","10.0.0.4","UDP","224","8801  >  59139 Len=182"
"146","2025/047 12:52:06.982870","10.0.0.4","206.247.60.204","UDP","1010","59137  >  8801 Len=968"
"147","2025/047 12:52:06.989296","206.247.60.204","10.0.0.4","UDP","1293","8801  >  59137 Len=1251"
"148","2025/047 12:52:06.997357","10.0.0.4","206.247.60.204","TLSv1.2","164","Application Data"
"149","2025/047 12:52:07.003722","206.247.60.204","10.0.0.4","UDP","205","8801  >  59139 Len=163"
"150","2025/047 12:52:07.003722","206.247.60.204","10.0.0.4","UDP","179","8801  >  59139 Len=137"
"151","2025/047 12:52:07.010104","206.247.60.204","10.0.0.4","UDP","1293","8801  >  59137 Len=1251"
"152","2025/047 12:52:07.020195","206.247.60.204","10.0.0.4","UDP","722","8801  >  59137 Len=680"
"153","2025/047 12:52:07.020195","206.247.60.204","10.0.0.4","UDP","722","8801  >  59137 Len=680"
"154","2025/047 12:52:07.022293","10.0.0.4","206.247.60.204","UDP","140","59139  >  8801 Len=98"
"155","2025/047 12:52:07.023467","206.247.60.204","10.0.0.4","UDP","159","8801  >  59139 Len=117"
"156","2025/047 12:52:07.030250","206.247.60.204","10.0.0.4","UDP","722","8801  >  59137 Len=680"
"157","2025/047 12:52:07.044266","206.247.60.204","10.0.0.4","UDP","159","8801  >  59139 Len=117"
"158","2025/047 12:52:07.051038","206.247.60.204","10.0.0.4","UDP","722","8801  >  59137 Len=680"
"159","2025/047 12:52:07.059262","10.0.0.4","206.247.60.204","UDP","823","59137  >  8801 Len=781"
"160","2025/047 12:52:07.059325","10.0.0.4","206.247.60.204","UDP","822","59137  >  8801 Len=780"
"161","2025/047 12:52:07.059392","10.0.0.4","206.247.60.204","TLSv1.2","174","Application Data"
"162","2025/047 12:52:07.061397","206.247.60.204","10.0.0.4","UDP","721","8801  >  59137 Len=679"
"163","2025/047 12:52:07.062907","206.247.60.204","10.0.0.4","TCP","56","443  >  64046 [ACK] Seq=1508 Ack=385 Win=16 Len=0"
"164","2025/047 12:52:07.064489","206.247.60.204","10.0.0.4","UDP","163","8801  >  59139 Len=121"
"165","2025/047 12:52:07.081774","206.247.60.204","10.0.0.4","UDP","953","8801  >  59137 Len=911"
"166","2025/047 12:52:07.085272","206.247.60.204","10.0.0.4","UDP","156","8801  >  59139 Len=114"
"167","2025/047 12:52:07.091995","206.247.60.204","10.0.0.4","UDP","953","8801  >  59137 Len=911"
"168","2025/047 12:52:07.092285","10.0.0.4","206.247.60.204","TLSv1.2","131","Application Data"
"169","2025/047 12:52:07.092372","10.0.0.4","206.247.60.204","UDP","187","59137  >  8801 Len=145"
"170","2025/047 12:52:07.106171","206.247.60.204","10.0.0.4","UDP","162","8801  >  59139 Len=120"
"171","2025/047 12:52:07.112571","206.247.60.204","10.0.0.4","UDP","952","8801  >  59137 Len=910"
"172","2025/047 12:52:07.122789","10.0.0.4","206.247.60.204","UDP","150","59139  >  8801 Len=108"
"173","2025/047 12:52:07.126518","206.247.60.204","10.0.0.4","UDP","163","8801  >  59139 Len=121"
"174","2025/047 12:52:07.134821","206.247.60.204","10.0.0.4","TLSv1.2","120","Application Data"
"175","2025/047 12:52:07.134821","206.247.60.204","10.0.0.4","TLSv1.2","141","Application Data"
"176","2025/047 12:52:07.134854","10.0.0.4","206.247.60.204","TCP","54","64046  >  443 [ACK] Seq=692 Ack=1661 Win=255 Len=0"
"177","2025/047 12:52:07.138395","206.247.60.204","10.0.0.4","TCP","56","443  >  64046 [ACK] Seq=1661 Ack=495 Win=16 Len=0"
"178","2025/047 12:52:07.145547","10.0.0.4","206.247.60.204","TLSv1.2","97","Application Data"
"179","2025/047 12:52:07.147308","206.247.60.204","10.0.0.4","UDP","159","8801  >  59139 Len=117"
"180","2025/047 12:52:07.154263","206.247.60.204","10.0.0.4","UDP","907","8801  >  59137 Len=865"
"181","2025/047 12:52:07.164250","206.247.60.204","10.0.0.4","UDP","899","8801  >  59137 Len=857"
"182","2025/047 12:52:07.164730","10.0.0.4","206.247.60.204","UDP","720","59137  >  8801 Len=678"
"183","2025/047 12:52:07.164790","10.0.0.4","206.247.60.204","UDP","720","59137  >  8801 Len=678"
"184","2025/047 12:52:07.164809","10.0.0.4","206.247.60.204","UDP","719","59137  >  8801 Len=677"
"185","2025/047 12:52:07.164829","10.0.0.4","206.247.60.204","UDP","719","59137  >  8801 Len=677"
"186","2025/047 12:52:07.164852","10.0.0.4","206.247.60.204","UDP","719","59137  >  8801 Len=677"
"187","2025/047 12:52:07.164884","10.0.0.4","206.247.60.204","UDP","751","59137  >  8801 Len=709"
"188","2025/047 12:52:07.167797","206.247.60.204","10.0.0.4","UDP","154","8801  >  59139 Len=112"
"189","2025/047 12:52:07.174266","206.247.60.204","10.0.0.4","UDP","899","8801  >  59137 Len=857"
"190","2025/047 12:52:07.184781","206.247.60.204","10.0.0.4","TLSv1.2","97","Application Data"
"191","2025/047 12:52:07.188035","206.247.60.204","10.0.0.4","UDP","160","8801  >  59139 Len=118"
"192","2025/047 12:52:07.194841","206.247.60.204","10.0.0.4","UDP","899","8801  >  59137 Len=857"
"193","2025/047 12:52:07.194841","206.247.60.204","10.0.0.4","UDP","899","8801  >  59137 Len=857"
"194","2025/047 12:52:07.201507","206.247.60.204","10.0.0.4","TCP","56","443  >  64046 [ACK] Seq=1704 Ack=615 Win=16 Len=0"
"195","2025/047 12:52:07.208756","206.247.60.204","10.0.0.4","UDP","154","8801  >  59139 Len=112"
"196","2025/047 12:52:07.222444","10.0.0.4","206.247.60.204","UDP","141","59139  >  8801 Len=99"
"197","2025/047 12:52:07.225535","206.247.60.204","10.0.0.4","UDP","1063","8801  >  59137 Len=1021"
"198","2025/047 12:52:07.229052","206.247.60.204","10.0.0.4","UDP","153","8801  >  59139 Len=111"
"199","2025/047 12:52:07.229211","10.0.0.4","206.247.60.204","TCP","54","64046  >  443 [ACK] Seq=735 Ack=1704 Win=255 Len=0"
"200","2025/047 12:52:07.233626","206.247.60.204","10.0.0.4","TCP","56","443  >  64046 [ACK] Seq=1704 Ack=692 Win=16 Len=0"
"201","2025/047 12:52:07.235737","206.247.60.204","10.0.0.4","UDP","1063","8801  >  59137 Len=1021"
"202","2025/047 12:52:07.235971","206.247.60.204","10.0.0.4","TLSv1.2","97","Application Data"
"203","2025/047 12:52:07.239464","10.0.0.6","239.255.255.250","UDP/XML","698","57210  >  3702 Len=656"
"204","2025/047 12:52:07.240532","fe80::17b1:b3d8:15b7:e566","ff02::c","UDP/XML","718","57211  >  3702 Len=656"
"205","2025/047 12:52:07.246112","206.247.60.204","10.0.0.4","UDP","680","8801  >  59137 Len=638"
"206","2025/047 12:52:07.246334","10.0.0.4","206.247.60.204","UDP","1179","59137  >  8801 Len=1137"
"207","2025/047 12:52:07.246379","10.0.0.4","206.247.60.204","UDP","1179","59137  >  8801 Len=1137"
"208","2025/047 12:52:07.246391","10.0.0.4","206.247.60.204","UDP","1179","59137  >  8801 Len=1137"
"209","2025/047 12:52:07.249736","206.247.60.204","10.0.0.4","UDP","157","8801  >  59139 Len=115"
"210","2025/047 12:52:07.267088","206.247.60.204","10.0.0.4","UDP","680","8801  >  59137 Len=638"
"211","2025/047 12:52:07.267088","206.247.60.204","10.0.0.4","UDP","679","8801  >  59137 Len=637"
"212","2025/047 12:52:07.270225","206.247.60.204","10.0.0.4","UDP","166","8801  >  59139 Len=124"
"213","2025/047 12:52:07.279565","206.247.60.204","10.0.0.4","UDP","185","8801  >  59137 Len=143"
"214","2025/047 12:52:07.280682","206.247.60.204","10.0.0.4","UDP","156","8801  >  59139 Len=114"
"215","2025/047 12:52:07.287273","206.247.60.204","10.0.0.4","UDP","679","8801  >  59137 Len=637"
"216","2025/047 12:52:07.287503","206.247.60.204","10.0.0.4","UDP","679","8801  >  59137 Len=637"
"217","2025/047 12:52:07.290871","10.0.0.4","206.247.60.204","UDP","1044","59137  >  8801 Len=1002"
