"No.","Time","Source","Destination","Protocol","Length","Info"
"73","2025/047 01:12:53.470593","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2001:4cd0:dc00:1::d419:45ab","UDP","95","60201  >  443 Len=33"
"74","2025/047 01:12:53.668723","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:800::2016","UDP","245","51741  >  443 Len=183"
"75","2025/047 01:12:53.678507","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1287","443  >  51741 Len=1225"
"76","2025/047 01:12:53.678613","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"77","2025/047 01:12:53.679607","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"78","2025/047 01:12:53.679607","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"79","2025/047 01:12:53.679607","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"80","2025/047 01:12:53.680447","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"81","2025/047 01:12:53.680447","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"82","2025/047 01:12:53.680447","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"83","2025/047 01:12:53.680447","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"84","2025/047 01:12:53.680447","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"85","2025/047 01:12:53.680447","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
"86","2025/047 01:12:53.680743","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","2a00:1450:4028:800::2016","UDP","99","51741  >  443 Len=37"
"87","2025/047 01:12:53.681568","2a00:1450:4028:800::2016","2a06:c701:4f46:4100:5044:1cb7:1b58:317b","UDP","1292","443  >  51741 Len=1230"
